Idade ;Género;Estado Civil ;Nível de Escolaridade ;Qual o Concelho em que vive;Distrito de Residência;Região de Residência;Qual o Concelho de destino da maioria das deslocações quotidianas;Qual o modo de transporte que MAIS usa diariamente?;Utiliza outro modo de transporte diariamente? Indique quais;Qual a distância de sua casa até ao local de destino mais habitual (em km)?;Quanto tempo demora de casa ao local de destino mais habitual?;Costuma usar a bicicleta maioritariamente para ;Como Modo de Transporte utiliza a Bicicleta quantos dias por semana?;Gostaria de usar mais vezes a bicicleta na deslocação diária (como modo de transporte)?;Porque não usa a bicicleta como modo de transporte?;O que o/a faria usar (ou usar mais) a bicicleta como modo de transporte?;Quantos  pedala por semana, enquanto modo de transporte?;Qual o tipo de bicicleta que mais utiliza?;Em média quantos dias por semana pedala (considerando todos os modos);Quantos km pedala por semana, enquanto lazer?;Quanto km pedala por semana, enquanto deporto?
60-64 anos;Masculino;Unido de Facto;Doutoramento;Fafe;Braga;Norte;Matosinhos;De Carro (Condutor);A pé;68;mais de 36 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta Dobrável;1;60;
45-49 anos;Masculino;Casado/a;Licenciatura;Aveiro;Aveiro;Centro;Porto;De Carro (Condutor);A pé;67;mais de 36 minutos;Para Lazer;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta Urbana/Convencional;1;10;10
30-34 anos;Masculino;Casado/a;Mestrado;Braga;Braga;Norte;Celorico de Basto;De Carro (Condutor);A pé, De Bicicleta;65;mais de 36 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta Urbana/Convencional;1;2;2
45-49 anos;Masculino;Casado/a;Mestrado;Figueira da Foz;Coimbra;Centro;Figueira da Foz;De Carro (Condutor);A pé, De Bicicleta;65;mais de 36 minutos;Para Desporto;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Ter vantagens por ir de bicicleta para o destino;10;Bicicleta Elétrica, Bicicleta de Montanha;3;30;100
55-59 anos;Masculino;Casado/a;Ensino Secundário;Sintra;Lisboa;Área Metropolitana de Lisboa;Montijo;De Carro (Condutor);De Bicicleta;65;mais de 36 minutos;Para Lazer;;Sim;;Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Montanha;2;50;50
65-69 anos;Masculino;Divorciado/a;Licenciatura;Alenquer;Lisboa;Centro;Oeiras;De Carro (Condutor);Mais nenhum;60;mais de 36 minutos;Para Lazer;;Não;;Nada, considero que não é o modo de transporte adequado ao meu estatuto;0;Bicicleta de Estrada;1;50;
50-54 anos;Masculino;Casado/a;Licenciatura;Amarante;Porto;Norte;Matosinhos;De Carro (Condutor);Mais nenhum;60;mais de 36 minutos;Para Desporto;;Não;;Não me posso deslocar de bicicleta;0;Bicicleta Elétrica;2;;80
20-24 anos;Feminino;Solteiro/a;Ensino Secundário;Arouca;Porto;Norte;Matosinhos;De Transporte Público;A pé, De Carro (Condutor);60;mais de 36 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta;Ter uma bicicleta, Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino;;;;;
40-44 anos;Feminino;Casado/a;Licenciatura;Aveiro;Aveiro;Centro;Coimbra;A pé;De Bicicleta, De Transporte Público;60;mais de 36 minutos;Como Modo de Transporte;6;Sim;;Garantir que os carros andem a uma velocidade reduzida, Conseguir articular o uso da bicicleta com outro modo de transporte;15;Bicicleta Urbana/Convencional;6;5;
45-49 anos;Masculino;Solteiro/a;Licenciatura;Aveiro;Aveiro;Centro;Aveiro;De Carro (Condutor);Mais nenhum;60;mais de 36 minutos;Não uso;;;Pneus furado à 3 anos;O meu trabalho não me permite usar a bicicleta;;;;;
50-54 anos;Feminino;Solteiro/a;Licenciatura;Aveiro;Aveiro;Centro;Coimbra;De Transporte Público;A pé;60;mais de 36 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta, Não me sinto confortável usar a bicicleta no meio do trânsito, Tenho medo de andar de bicicleta no meio urbano, Moro longe;Só se passasse a morar mais perto do destino;;;;;
45-49 anos;Masculino;Casado/a;Ensino Secundário;Azambuja;Lisboa;Alentejo;Lisboa;De Transporte Público;A pé;60;mais de 36 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino;0;Bicicleta Elétrica;4;40;40
20-24 anos;Feminino;Solteiro/a;Licenciatura;Barcelos;Braga;Norte;Braga;De Carro (Condutor);De Carro (Passageiro);60;mais de 36 minutos;Não uso;;;Moro longe, Não consigo combinar a bicicleta com a rede de transporte público;Nada, não gosto;;;;;
30-34 anos;Masculino;Solteiro/a;Mestrado;Barreiro;Setúbal;Área Metropolitana de Lisboa;Cascais;De Transporte Público;De Bicicleta;60;mais de 36 minutos;Como Modo de Transporte;5;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino;60;Bicicleta de Cicloturismo;5;;
60-64 anos;Masculino;Casado/a;Ensino Secundário;Barreiro;Setúbal;Área Metropolitana de Lisboa;Cascais;De Transporte Público;De Carro (Condutor);60;mais de 36 minutos;Para Desporto;;Sim;;Só se passasse a morar mais perto do destino;18;Bicicleta de Estrada;2;;150
45-49 anos;Masculino;Casado/a;Mestrado;Braga;Braga;Norte;Porto;De Carro (Condutor);A pé;60;mais de 36 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino;0;Bicicleta Elétrica;2;3;
45-49 anos;Masculino;Casado/a;Licenciatura;Braga;Braga;Norte;Porto;De Carro (Condutor);A pé;60;mais de 36 minutos;Para Lazer;;Não;;Só se passasse a morar mais perto do destino;0;Bicicleta de Montanha;1;40;40
50-54 anos;Feminino;Divorciado/a;Licenciatura;Braga;Braga;Norte;Fafe;De Carro (Condutor);A pé;60;21 a 35 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta;Ter uma bicicleta, Só se passasse a morar mais perto do destino;;;;;
40-44 anos;Masculino;Casado/a;Licenciatura;Braga;Braga;Norte;Maia;De Carro (Condutor);Mais nenhum;60;mais de 36 minutos;Não uso;;;Moro longe;O meu trabalho não me permite usar a bicicleta;;;;;
40-44 anos;Masculino;Divorciado/a;Licenciatura;Braga;Braga;Norte;Paredes de Coura;De Carro (Condutor);A pé, De Bicicleta, De Transporte Público, De Mota (condutor);60;mais de 36 minutos;Para Desporto;2;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Receber por cada km que pedalasse;12;Bicicleta de Cicloturismo;2;;60
40-44 anos;Masculino;Unido de Facto;Licenciatura;Braga;Braga;Norte;Matosinhos;De Carro (Condutor);Mais nenhum;60;mais de 36 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;0;Bicicleta de Cicloturismo;1;5;
45-49 anos;Masculino;Casado/a;Licenciatura;Braga;Braga;Norte;Matosinhos;De Carro (Condutor);A pé;60;21 a 35 minutos;Não uso;;;Já não ando de bicicleta há muitos anos;Nada, não gosto;;;;;
40-44 anos;Feminino;Casado/a;Mestrado;Braga;Braga;Norte;Porto;De Transporte Público;A pé, De Carro (Condutor);60;mais de 36 minutos;Não uso;;;Não me sinto confortável usar a bicicleta no meio do trânsito, Moro longe, A minha condição física não me permite andar de bicicleta, Não acho prático, É perigoso andar de bicicleta;Só se passasse a morar mais perto do destino, Conseguir articular o uso da bicicleta com outro modo de transporte;;;;;
40-44 anos;Masculino;Casado/a;Mestrado;Braga;Braga;Norte;Porto;De Transporte Público;De Carro (Condutor);60;mais de 36 minutos;Não uso;;;Não tenho bicicleta, Moro longe, Não quero chegar suado, Não tenho equipamento;Ter uma bicicleta, Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino;;;;;
40-44 anos;Masculino;Casado/a;Mestrado;Braga;Braga;Norte;Porto;De Carro (Condutor);Mais nenhum, A pé;60;mais de 36 minutos;Para Desporto;;Sim;;Só se passasse a morar mais perto do destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Montanha;1;;40
40-44 anos;Masculino;Unido de Facto;Ensino Secundário;Braga;Braga;Norte;Porto;De Carro (Condutor);Mais nenhum;60;mais de 36 minutos;Para Desporto;;Não;;Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino;0;Bicicleta de Montanha;1;25;
50-54 anos;Masculino;Casado/a;Licenciatura;Castelo Branco;Castelo Branco;Centro;Castelo Branco;De Carro (Condutor);A pé;60;mais de 36 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta Elétrica, Bicicleta Urbana/Convencional, Bicicleta de Estrada, Bicicleta de Montanha, Bicicleta Dobrável;2;20;50
30-34 anos;Masculino;Solteiro/a;Licenciatura;Coimbra;Coimbra;Centro;Coimbra;De Carro (Passageiro);De Bicicleta;60;mais de 36 minutos;Para Desporto;1;Sim;;Só se passasse a morar mais perto do destino, Ter vantagens por ir de bicicleta para o destino, O meu trabalho não me permite usar a bicicleta;10;Bicicleta de Estrada;3;10;150
40-44 anos;Masculino;Casado/a;Licenciatura;Coimbra;Coimbra;Centro;Aveiro;De Carro (Passageiro);A pé, De Bicicleta;60;mais de 36 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Estrada, Bicicleta de Montanha;2;;90
55-59 anos;Feminino;Casado/a;Mestrado;Felgueiras;Porto;Norte;Braga;De Carro (Condutor);Mais nenhum;60;mais de 36 minutos;Para Desporto;;Sim;;Só se passasse a morar mais perto do destino, O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Estrada;1;;25
45-49 anos;Masculino;Casado/a;Licenciatura;Lisboa;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);A pé, De Bicicleta;60;mais de 36 minutos;Para Desporto;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Montanha;1;;
65-69 anos;Masculino;Casado/a;Doutoramento;Lousada;Porto;Norte;Braga;De Mota (Passageiro);De Mota (condutor);60;mais de 36 minutos;Para Desporto;;Não;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino;0;Bicicleta de Montanha;2;10;40
35-39 anos;Masculino;Casado/a;Licenciatura;Matosinhos;Porto;Norte;Braga;De Carro (Condutor);Mais nenhum;60;mais de 36 minutos;Para Lazer;;Sim;;Só se passasse a morar mais perto do destino;0;Bicicleta Urbana/Convencional;1;20;20
55-59 anos;Masculino;Casado/a;Ensino Secundário;Matosinhos;Porto;Norte;Felgueiras;De Carro (Condutor);A pé;60;mais de 36 minutos;Para Desporto;;Sim;;Só se passasse a morar mais perto do destino, Não me posso deslocar de bicicleta, O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Estrada, Bicicleta de Montanha;2;30;100
40-44 anos;Masculino;Unido de Facto;Ensino Secundário;Moita;Setúbal;Área Metropolitana de Lisboa;Oeiras;A pé;De Transporte Público;60;mais de 36 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Montanha;1;;40
55-59 anos;Masculino;Casado/a;Ensino Secundário;Montijo;Setúbal;Área Metropolitana de Lisboa;Sintra;De Carro (Condutor);A pé, De Bicicleta, De Transporte Público;60;mais de 36 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino, Bicicleta eléctrica a preços mais acessíveis. ;0;Bicicleta de Montanha;3;;100
40-44 anos;Masculino;Casado/a;Ensino Secundário;Ovar;Aveiro;Centro;Aveiro;De Transporte Público;A pé, De Bicicleta, De Trotinete, De Carro (Condutor);60;mais de 36 minutos;Para Desporto;2;Não;;Só se passasse a morar mais perto do destino;10;Bicicleta de Estrada;6;30;200
45-49 anos;Masculino;Casado/a;Licenciatura;Paços de Ferreira;Porto;Norte;Vila Nova de Gaia;De Carro (Condutor);Mais nenhum;60;mais de 36 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino;0;Bicicleta de Estrada, Bicicleta de Montanha;1;;50
30-34 anos;Masculino;Casado/a;Licenciatura;Palmela;Setúbal;Área Metropolitana de Lisboa;Loures;De Carro (Condutor);De Bicicleta;60;mais de 36 minutos;Como Modo de Transporte;4;Sim;;Só se passasse a morar mais perto do destino, O meu trabalho não me permite usar a bicicleta;30;Bicicleta de Montanha;6;40;
45-49 anos;Masculino;Divorciado/a;Ensino Secundário;Portalegre;Portalegre;Alentejo;Gavião;De Carro (Condutor);A pé, De Bicicleta, De Mota (condutor);60;mais de 36 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Estrada;1;100;100
45-49 anos;Masculino;Casado/a;Licenciatura;Santa Maria da Feira;Aveiro;Norte;Vale de Cambra;De Carro (Condutor);Mais nenhum;60;21 a 35 minutos;Não uso;;;É caro ter uma bicicleta;Ter ciclovias seguras de casa até ao meu destino;;;;;
30-34 anos;Feminino;Solteiro/a;Mestrado;Santa Maria da Feira;Aveiro;Norte;Santa Maria da Feira;De Carro (Passageiro);De Carro (Condutor);60;21 a 35 minutos;Para Lazer;2;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Ter vantagens por ir de bicicleta para o destino, Conseguir articular o uso da bicicleta com outro modo de transporte;10;Bicicleta Dobrável;2;60;50
55-59 anos;Masculino;Casado/a;Ensino Secundário;Torres Vedras;Lisboa;Centro;Oeiras;De Transporte Público;De Carro (Condutor);60;mais de 36 minutos;Não uso;;;Moro longe, Não consigo combinar a bicicleta com a rede de transporte público;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Conseguir articular o uso da bicicleta com outro modo de transporte;;;;;
40-44 anos;Masculino;Casado/a;Licenciatura;Vila do Conde;Porto;Norte;Braga;De Carro (Condutor);Mais nenhum;60;mais de 36 minutos;Não uso;;;Não há uma rede segura de ciclovias para as minhas deslocações, Moro longe;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino;;;;;
45-49 anos;Masculino;Casado/a;Mestrado;Vila Nova de Gaia;Porto;Norte;Aveiro;De Carro (Condutor);Mais nenhum;60;mais de 36 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Cicloturismo;1;5;5
30-34 anos;Masculino;Solteiro/a;Mestrado;Vizela;Braga;Norte;Porto;De Transporte Público;De Carro (Condutor);60;mais de 36 minutos;Para Desporto;;Não;;Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino;0;Bicicleta de Montanha;1;;10
15-19 anos;Masculino;Solteiro/a;Ensino Secundário;Coimbra;Coimbra;Centro;Coimbra;De Transporte Público;A pé;57;21 a 35 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta, Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho medo de andar de bicicleta no meio urbano, Não consigo combinar a bicicleta com a rede de transporte público;Ter uma bicicleta, Aprender a andar de bicicleta em meio urbano, Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;;;;;
50-54 anos;Feminino;Casado/a;Doutoramento;Braga;Braga;Norte;Vila do Conde;De Carro (Condutor);Mais nenhum;56;mais de 36 minutos;Não uso;;;Não tenho bicicleta, Moro longe;Ter uma bicicleta, Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino;;;;;
40-44 anos;Masculino;Unido de Facto;Licenciatura;Braga;Braga;Norte;Matosinhos;De Transporte Público;A pé, De Carro (Condutor);55;mais de 36 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta, Não me sinto confortável usar a bicicleta no meio do trânsito, Não quero chegar molhado, Há muitas subidas no meu percurso;Ter uma bicicleta, Conseguir articular o uso da bicicleta com outro modo de transporte;;;;;
30-34 anos;Masculino;Unido de Facto;Mestrado;Braga;Braga;Norte;Matosinhos;De Carro (Condutor);Mais nenhum;55;21 a 35 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Moro longe, A minha condição física não me permite andar de bicicleta;Só se passasse a morar mais perto do destino;;;;;
45-49 anos;Masculino;Casado/a;Licenciatura;Coimbra;Coimbra;Centro;Coimbra;De Transporte Público;A pé, De Bicicleta, De Mota (condutor), De Carro (Condutor);55;21 a 35 minutos;Como Modo de Transporte;3;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse, Conseguir articular o uso da bicicleta com outro modo de transporte;24;Bicicleta Urbana/Convencional, Bicicleta Dobrável;3;10;
40-44 anos;Masculino;Casado/a;Licenciatura;Moita;Setúbal;Área Metropolitana de Lisboa;Lisboa;De Transporte Público;A pé;55;mais de 36 minutos;Para Desporto;;Não;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino;0;Bicicleta de Montanha;1;;50
40-44 anos;Masculino;Solteiro/a;Licenciatura;Setúbal;Setúbal;Área Metropolitana de Lisboa;Sintra;De Carro (Condutor);Mais nenhum;55;mais de 36 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino, Ter vantagens por ir de bicicleta para o destino;0;Bicicleta de Montanha;1;40;
20-24 anos;Masculino;Solteiro/a;Mestrado;Vale de Cambra;Aveiro;Norte;Porto;De Transporte Público;De Carro (Condutor);55;mais de 36 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Estrada;1;100;
35-39 anos;Masculino;Solteiro/a;Licenciatura;Oliveira de Azeméis;Aveiro;Norte;Porto;De Carro (Condutor);A pé;54;mais de 36 minutos;Para Lazer;;Sim;;Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Estrada;1;5;
